식품코드,식품명,식품대분류코드,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
2207160000000006,골드키위 주스,20,190,115,28,2,0,26,0,20.7
2207190000000003,깔라만시,20,100,30,7,0,0,1,0,0
2207300000000001,미숫가루,20,250,140,27.59,5.29,1.09,0.38,5.8,4
3247560000000001,팝콘,24,100,511,58.06,8.3,27.34,0.38,10.4,500
3247560200000001,카라멜팝콘,24,100,479,69.79,5.92,19.56,27.42,6.8,105
2257570000000001,견과류 세트,25,40,220,15,7,15,7,0,2
1000000055,달걀,27,100,150,0.63,12.8,10.65,0.62,0,127
3277580100000001,삶은달걀,27,100,150,0.63,12.8,10.65,0.62,0,127
3277580110000001,삶은달걀(노른자),27,100,358,1.17,15.66,32.31,0.23,0,46
3277580156000001,삶은달걀(흰자),27,100,48,0.01,11.42,0.29,0.32,0,186
3277590000000001,대구포,27,100,141,2.33,31.97,0.4,0,1.2,3876
1277620000000001,육회,27,150,195,12.18,14.89,9.64,7.94,9.9,627
1000000056,건포도,28,36,108,28.5,1.11,0.17,21.31,1.3,4
1000000057,포도,28,80,55,14.48,0.58,0.13,12.38,0.7,2
1000000058,샤인머스캣,28,80,55,14.48,0.58,0.13,12.38,0.7,2
1000000059,청포도,28,75,52,13.58,0.54,0.12,11.61,0.7,2
1000000060,거봉,28,200,112,29.43,1.17,0.26,25.17,1.5,3
1000000061,복숭아,28,98,38,9.35,0.89,0.24,8.22,1.5,0
1000000062,배,28,100,58,15.46,0.38,0.12,9.8,3.1,1
1000000063,파인애플,28,100,48,12.63,0.54,0.12,9.26,1.4,1
1000000064,체리,28,50,30,7.62,0.5,0.1,6.1,1,0
1000000065,사과,28,100,52,13.81,0.26,0.17,10.39,2.4,1
1000000066,풋사과,28,120,73,19.3,0.36,0.24,14.52,3.4,1
1000000067,귤,28,80,35,8.89,0.63,0.11,6.79,1.3,1
1000000068,한라봉,28,300,120,30.09,1.83,0.7,23.86,4.1,7
1000000069,딸기,28,100,32,7.68,0.67,0.3,4.66,2,1
1000000070,오렌지,28,130,62,15.39,1.23,0.16,12.25,3.1,0
1000000071,바나나,28,120,105,26.95,1.29,0.39,14.43,3.1,1
1000000072,망고,28,130,107,28.05,0.84,0.45,24.42,3,3
1000000073,말린 망고,28,90,311,80.79,1.47,0.77,75.45,5.1,6
1000000074,멜론,28,120,46,10.93,1.13,0.25,10.53,1.2,21
1000000075,자두,28,70,24,5.97,0.37,0.15,5.18,0.7,1
1000000076,수박,28,286,86,21.59,1.74,0.43,17.73,1.1,3
1000000077,자몽,28,128,41,10.34,0.81,0.13,8.93,1.4,0
1000000078,키위,28,76,46,11.14,0.87,0.4,6.83,2.3,2
1000000079,땅콩,28,100,567,16.13,25.8,49.24,3.97,8.5,18
1000000080,아몬드,28,100,578,19.74,21.26,50.64,4.8,11.8,1
1000000081,호두,28,28,183,3.84,4.26,18.26,0.73,1.9,1
1000000082,해바라기 씨,28,100,570,18.76,22.78,49.57,2.62,10.5,3
1000000083,잣,28,20,11,0.22,0.23,1.16,0.06,0.1,0
1000000084,피스타치오,28,30,158,7.93,5.84,12.6,2.17,2.9,0
1000000085,베이컨,28,16,87,0.23,5.93,6.68,0,0,370
1000000086,살라미,28,23,58,0.52,3.2,4.63,0,0,245
1000000087,소시지구이,28,120,314,2.91,15.36,26.31,1.29,0,1028
1000000088,달걀 오믈렛,28,100,153,0.69,10.62,12.02,0.65,0,161
1000000089,계란후라이,28,60,89,0.43,6.24,6.76,0.38,0,238
1000000090,계란말이,28,250,336,6.53,25.46,22.4,2.81,1.6,772
1000000091,가리비구이,28,85,112,2.48,17.19,3.28,0,0,448
1000000092,마른오징어,28,42,147,4.91,24.81,2.2,0,0,255
1000000093,연어회,28,100,146,0,21.62,5.93,0,0,46
1000000094,문어회,28,100,82,2.2,14.91,1.04,0,0,230
1000000095,광어회,28,100,110,0,20.81,2.29,0,0,54
1000000096,방어회,28,112,164,0,25.92,5.87,0,0,44
1000000097,우럭회,28,100,103,0,19.41,2.25,0,0,45
1000000098,참치회,28,112,121,0,26.19,1.06,0,0,41
1000000099,숭어회,28,100,117,0,19.35,3.79,0,0,65
1000000100,구운 감자,28,100,109,20.53,2.43,2.2,1.14,2.1,235
1000000101,삶은 감자,28,100,87,20.13,1.87,0.1,0.87,2,240
1000000102,군고구마,28,100,86,20.12,1.57,0.05,4.18,3,55
1000000103,삶은 고구마,28,100,76,17.72,1.37,0.14,5.74,2.5,27
1000000104,토마토,28,123,22,4.82,1.08,0.25,3.23,1.5,6
1000000105,방울 토마토,28,100,18,3.92,0.88,0.2,2.63,1.2,5
1000000106,피클,28,100,18,4.12,0.62,0.19,3.51,1.2,1282
1000000107,치킨무,28,50,44,9.8,1.24,0.12,0.53,0.3,44
1000000108,삶은 브로콜리,28,100,35,7.14,2.37,0.41,1.38,3.3,278
1000000109,아스파라거스,28,23,6,0.64,0.37,0.35,0.2,0.3,37
1000000110,양배추,28,90,21,4.97,1.28,0.11,3.19,2,16
1000000111,과일화채,28,245,108,26.51,0.44,0.15,22.88,0.2,10
1000000112,두유,28,220,127,12.08,10.98,4.7,1.22,3.2,135
1000000113,레몬에이드,28,240,99,25.87,0.17,0.1,24.73,0,5
